id,date,amount,category,description,notes
1,2025-12-05,45.50,Food,Lunch at café,
2,2025-12-07,12.00,Transport,Octopus top-up,
3,2025-12-10,80.00,Food,Dinner at restaurant,
4,2025-12-15,20.00,Entertainment,Movie ticket,
5,2025-12-18,175.00,Bills,Electricity bill,
6,2025-12-22,35.00,Food,Breakfast,
7,2025-12-25,99.00,Shopping,Christmas gifts,
8,2026-01-02,45.50,Food,Lunch,
9,2026-01-05,15.00,Transport,Taxi,
10,2026-01-10,120.00,Bills,Internet bill,
11,2026-01-15,35.00,Food,Dinner,
12,2026-01-18,45.00,Entertainment,Concert ticket,
13,2026-01-22,60.00,Shopping,Clothing,
14,2026-02-03,42.00,Food,Lunch,
15,2026-02-08,88.00,Food,Groceries,
16,2026-02-12,150.00,Bills,Phone bill,
17,2026-02-18,50.00,Entertainment,Gaming,
18,2026-02-25,200.00,Shopping,Electronics,
19,2026-03-01,45.50,Food,Lunch at café,
20,2026-03-01,12.00,Transport,Octopus top-up,
21,2026-03-02,80.00,Food,Dinner at restaurant,
22,2026-03-03,20.00,Entertainment,Movie ticket,
23,2026-03-04,175.00,Bills,Electricity bill,
24,2026-03-10,35.00,Food,Breakfast,
25,2026-03-15,65.00,Shopping,Books,
